Name,UserName,Time,Text,Likes,Retweets,TweetURL,UserURL,City,Country
Maria Vamvalis,MariaVamvalis,3/15/2022 22:34,"Indigenous Knowledges and Climate Change | Climate Atlas of Canada https://climateatlas.ca/indigenous-knowledges-and-climate-change…
5
11",5,11,https://twitter.com/MariaVamvalis/status/1503862128574447622,https://twitter.com/MariaVamvalis,0,0
Catherine McKenna,cathmckenna,2/14/2022 23:30,"Speaking of New York, great to be at 
@ColumbiaUEnergy
 @columbiaclimate
 speaking to amazing students from around the world who care greatly about climate action. Young people understand that climate change is the thing and are committed to solving it. Super inspiring! 
Quote Tweet
Jason Bordoff
@JasonBordoff
 · Feb 14
One of the best turnouts ever for a student round table. ⁦@cathmckenna⁩ is a huge draw (maybe free food too but i’m betting it’s Catherine ). So thrilled to welcome her to campus as our newest Distinguished Visiting Fellow!
4
3
42",3,42,https://twitter.com/cathmckenna/status/1493367158419730432,https://twitter.com/cathmckenna,0,0
Kenny Webster,KennethRWebster,3/7/2022 23:19,"And gun rights and climate change and BLM…
breitbart.com
Former Trump Official Accuses Crenshaw of Being Two-Faced on Iran Deal
Cliff Sims went after establishment Republican Rep. Dan Crenshaw (R-TX) over the weekend, accusing him of being two-faced on the Iran deal.
2
8
22",8,22,https://twitter.com/KennethRWebster/status/1500974407463972869,https://twitter.com/KennethRWebster,0,0
Jeff is weird,a_separate_sky,2/19/2022 22:57,"ofc nobody actually wants Guy out.

It’s a contradiction of message. 

Sure, he isn’t the band and his actions are his own, it just feels odd to have a group that is pushing to combat climate change,etc, have a member do something that’s _unnecessary_ and goes against that cause
1
11
70",11,70,https://twitter.com/a_separate_sky/status/1495170721105907714,https://twitter.com/a_separate_sky,0,0
Brandi Morin,Songstress28,3/19/2022 20:56,"“Their (Indigenous People) relationship, their wisdom, their worldview is what we need to save the world and to save humanity.” 
@MarkRuffalo
 on #climatechange & supporting Indigenous on the frontlines  like the Wet’suewet’en in our interview yesterday 2 
@IndianCountry
 #justlookup
74
230
1,140",230,1140,https://twitter.com/Songstress28/status/1505287239164596225,https://twitter.com/Songstress28,0,0
Sir Alan de Ærd,Aardybloke,2/13/2022 21:28,"I remember years ago, I was standing in a field in Germany with my Son who at three years old was deeply concerned about climate change. 

He gazed longingly at the newly constructed wind turbine, then turned to me with a quizzical look and said “Dad…I’ve shit myself”
10
2
45",2,45,https://twitter.com/Aardybloke/status/1492973999999049733,https://twitter.com/Aardybloke,0,0
girl3,Angel294550Free,3/3/2022 23:49,"Just curious nerd king does this bus look “climate change” friendly ? What about all you elitists with water front properties? Are you and your buddies going to take me up on my mud hut challenge anytime soon  
@GovernorTomWolf
 ?
4
15",4,15,https://twitter.com/Angel294550Free/status/1499532536711720961,https://twitter.com/Angel294550Free,0,0
Save the Planet Group,Grimnien,2/19/2022 20:16,"Hillary, I think you will find, should you wish to research, that there is an immense amount of scientific evidence and peer reviewed studies dating back to the 1800s in reference to climate change. #ClimateCrisis #ClimateEmergency #ClimateBrawl.
7
12
23",12,23,https://twitter.com/Grimnien/status/1495130197502398465,https://twitter.com/Grimnien,0,0
Kevin Anderson,KevinClimate,4/15/2022 21:23,"Replying to 
@GeorgeMonbiot
On many levels we’re not even documenting, rather,for over two decades,we’ve sweetened the pill so as not to scare the policy makers, financiers, etc. We are complicit in the failure of our governments to take climate change seriously. We’ve become well-meaning snake-oil sellers.
2
12
50",12,50,https://twitter.com/KevinClimate/status/1515078480949563399,https://twitter.com/KevinClimate,0,0
Adam Minter,AdamMinter,3/12/2022 23:40,"Climate change will transform agriculture ... but smart choices and changes can ensure that the transformation isn't necessarily for the worse. https://bloomberg.com/opinion/articles/2022-03-12/climate-change-and-food-warming-doesn-t-have-to-spell-doom-for-farming… a q&a btw me and 
@DukesJeff
 for 
@bopinion
bloomberg.com
Climate Change Doesn’t Have to Spell Doom for Farms and Food
A Q&A with Jeffrey Dukes, a Purdue University ecologist, on the impact of global warming on agriculture and the best ways for societies to manage it.
1
9
12",9,12,https://twitter.com/AdamMinter/status/1502791749512671235,https://twitter.com/AdamMinter,0,0
